Data	Otwarcie	Max	Min	Zamkniêcie
2009-11-18	2.7064	2.7204	2.7022	2.7161
2009-11-19	2.7164	2.7411	2.7156	2.7375
2009-11-20	2.7376	2.7523	2.7292	2.7442
2009-11-22	2.7450	2.7468	2.7434	2.7459
2009-11-23	2.7460	2.7468	2.7222	2.7277
2009-11-24	2.7275	2.7361	2.7212	2.7287
2009-11-25	2.7285	2.7300	2.7138	2.7204
2009-11-26	2.7205	2.7637	2.7128	2.7622
2009-11-27	2.7620	2.7824	2.7478	2.7556
2009-11-29	2.7504	2.7549	2.7492	2.7492
2009-11-30	2.7492	2.7677	2.7397	2.7591
2009-12-01	2.7591	2.7645	2.7230	2.7310
2009-12-02	2.7311	2.7343	2.7191	2.7207
2009-12-03	2.7208	2.7254	2.7102	2.7174
2009-12-04	2.7178	2.7235	2.6761	2.6901
2009-12-06	2.6846	2.6866	2.6843	2.6849
2009-12-07	2.6846	2.7008	2.6778	2.6908
2009-12-08	2.6904	2.7401	2.6888	2.7305
2009-12-09	2.7304	2.7622	2.7270	2.7523
2009-12-10	2.7523	2.7540	2.7308	2.7486
2009-12-11	2.7485	2.7530	2.7323	2.7468
2009-12-13	2.7472	2.7483	2.7463	2.7470
2009-12-14	2.7470	2.7541	2.7313	2.7498
2009-12-15	2.7498	2.7956	2.7435	2.7841
2009-12-16	2.7843	2.7974	2.7517	2.7672
2009-12-17	2.7675	2.8040	2.7649	2.7994
2009-12-18	2.7994	2.8211	2.7851	2.8112
2009-12-20	2.8137	2.8201	2.8064	2.8106
2009-12-21	2.8105	2.8152	2.7956	2.8108
2009-12-22	2.8103	2.8104	2.7862	2.7884
2009-12-23	2.7880	2.8052	2.7850	2.7928
2009-12-24	2.7925	2.7984	2.7770	2.7799
2009-12-25	2.7798	2.7798	2.7798	2.7798
2009-12-27	2.7798	2.7906	2.7798	2.7847
2009-12-28	2.7847	2.7985	2.7765	2.7969
2009-12-29	2.7966	2.7998	2.7748	2.7786
2009-12-30	2.7786	2.7832	2.7685	2.7801
2009-12-31	2.7801	2.7820	2.7630	2.7679
2010-01-01	2.7679	2.7679	2.7679	2.7679
2010-01-03	2.7746	2.7752	2.7710	2.7730
2010-01-04	2.7730	2.7781	2.7345	2.7502
2010-01-05	2.7502	2.7597	2.7362	2.7578
2010-01-06	2.7578	2.7687	2.7546	2.7633
2010-01-07	2.7641	2.7831	2.7620	2.7755
2010-01-08	2.7757	2.7816	2.7511	2.7560
2010-01-10	2.7559	2.7584	2.7538	2.7542
2010-01-11	2.7542	2.7618	2.7346	2.7564
2010-01-12	2.7564	2.7728	2.7537	2.7618
2010-01-13	2.7618	2.7664	2.7327	2.7434
2010-01-14	2.7433	2.7489	2.7258	2.7406
2010-01-15	2.7407	2.7513	2.7280	2.7467
2010-01-17	2.7438	2.7449	2.7409	2.7443
2010-01-18	2.7446	2.7460	2.7226	2.7235
2010-01-19	2.7235	2.7353	2.7106	2.7150
2010-01-20	2.7154	2.7559	2.7135	2.7511
2010-01-21	2.7510	2.7889	2.7404	2.7855
2010-01-22	2.7853	2.7948	2.7664	2.7779
2010-01-24	2.7763	2.7770	2.7731	2.7733
2010-01-25	2.7731	2.7823	2.7552	2.7660
2010-01-26	2.7663	2.7915	2.7595	2.7681
2010-01-27	2.7677	2.7949	2.7666	2.7793
2010-01-28	2.7794	2.7836	2.7572	2.7776
2010-01-29	2.7775	2.7885	2.7403	2.7543
2010-01-31	2.7449	2.7485	2.7446	2.7465
2010-02-01	2.7457	2.7540	2.7020	2.7070
2010-02-02	2.7071	2.7137	2.6959	2.6967
2010-02-03	2.6967	2.7294	2.6831	2.7263
2010-02-04	2.7262	2.7889	2.7197	2.7852
2010-02-05	2.7853	2.8175	2.7511	2.7935
2010-02-07	2.7850	2.7883	2.7834	2.7875
2010-02-08	2.7874	2.8102	2.7714	2.8075
2010-02-09	2.8076	2.8076	2.7599	2.7649
2010-02-10	2.7649	2.7820	2.7579	2.7717
2010-02-11	2.7717	2.7728	2.7339	2.7369
2010-02-12	2.7292	2.7570	2.7277	2.7419
2010-02-14	2.7352	2.7454	2.7348	2.7447
2010-02-15	2.7447	2.7532	2.7328	2.7503
2010-02-16	2.7503	2.7506	2.7093	2.7132
